basa_loma,basa_lemes_1,basa_lemes_2,indonesia
palangan,"kareseban, udur sasih",kareseban,haid
palangsiang,tiasa janten,tiasa janten,bisa jadi
palar,palar,"pambrih, pamrih",diharapkan
palebah,leresan,leresan,"sebelah, samping"
paliré,paliré,perhatoskeun,perhatikan
pamajikan,(pun) bojo,"(tuang) istri, (tuang) rai/rayi, geureuha",istri
paman,(pun) paman,(tuang) rama,paman
pancuran,jamban,jamban,kamar mandi
pandé,pandé,"padan, sami",menyamai
pandé (rupa),rupi,rupi,rupa
pandeuri,pengker,pengker,belakangan
pang,nu mawi,nu mawi,itulah sebabnya
pangaweruh,kauninga,kauninga,terdengar
panggih,"pendak, tepang","pendak, tepang",bertemu
pangkat,kadudukan,kalungguhan,kedudukan
pangku,pangkon,pangkon,menggendong
pangna,nu mawi,nu mawi,itulah sebabnya
pangraksa,pangraksa,panangtayungan,perlindungan
panitih,panitih,"sanggétan, sangkétan",peniti
panon,panon,soca,mata
pantar,pantar,sayuswa,"seusia, sebaya"
pantég,kalintang,"kalintang, teu kinten",sangat
papacangan,tunangan,tunangan,tunangan
paparah,kinten-kinten,kinten-kinten,kira-kira
papatah,"naséhat, papatah","piwejang, piwuruk",nasehat
parak,parak,punday,mengeringkan sebagian sungai untuk menangkap ikan
parandéné,sanaos,sanaos,walaupun
paribasa,paripaos,paripaos,peribahasa
pariksa,pariksa,parios,periksa
parna,répot,wales,sakit keras
paro,palih,palih,sebagian
parok,sami,sami,sama
pasti,"kantenan, tangtos","kantenan, tangtos","pasti, tentu"
pati,patos,patos,seberapa
patuh,patuh,linggih,tetap
payu,pajeng,pajeng,laku
payung,payung,pajeng,payung
pecak,cobi,cobi,mencoba
pédah,"jalaran, (ku) margi","(ku) margi, réh(ing)",sebab
pegat,pegat,andeg,bertemu
pék,"geura, mangga",mangga,silahkan
pelik,sesah,sesah,susah
pencét,peuseul,peuseul,pijat
pénta,"teda, suhunkeun",pundut,meminta
penting,peryogi,peryogi,kepentingan
pepegatan,pipisahan,pipisahan,perpisahan
percaya,percanten,percanten,percaya
perelu,peryogi,peryogi,keperluan
perkara,perkawis,perkawis,perkara
perlu,peryogi,peryogi,perlu
permata,sosoca,sosoca,perlu
permisi,permios,permios,permisi
peuting,wengi,wengi,malam
pianakan,pianakan,wewetengan,peranakan
pias,pucet,pucet,pucat
pidato,biantara,biantara,pidato
pihapé,wiat,"wewerat, wiat",titip
pikeun,kanggo,"haturan, kanggo",untuk
pikir,pikir,manah,pikir
piligenti,piligentos,piligentos,bergantian
pilih,peto,selir,terpilih
pindah,pindah,ngalih,pindah
pingping,pingping,paha,paha
pipi,pipi,damis,pipi
pirang-pirang,pinten-pinten,pinten-pinten,"banyak sekali, masih bersyukur"
pireungeuh,"pireungeuh, tingal",tingali,"diperhatikan, melihat"
pitulung,pitulung,pitandang,pertolongan
poé,dinten,dinten,hari
pohara,kalintang,"kalintang, teu kinten",sangat
poho,hilap,lali,lupa
popotongan,patilasan,patilasan,peninggalan
potong,tilas,tilas,mantan
pribadi,pribados,ku anjeun,pribadi
prihatin,prihatin,prihatos,prihatin
puasa,puasa,saum,puasa
puguh,"kantenan, tangtos","kantenan, tangtos","jadi, pasti"
pukul,tabuh,tabuh,jam
pupulih,"nyanggem, popoyan, unjukan, wawartos","nyarios, pupulih, unjukan, wawartos",memberitahu
purun,purun,kersa,"bersedia, bisa"
raat,lirén,lirén,reda
rajin,kersaan,kersaan,rajin
raket,caket,caket,dekat
raksa,raksa,tangtayungan,perlindungan
ramo,ramo,réma,jari
rampés,mangga,mangga,silahkan masuk
ranyéd,ranyéd,lambang sari,selingkuh
rarabi,rarabi,garwaan,beristri
rarasaan,raraosan,raraosan,perasaan
rasa,raos,raos,enak
réa,seueur,seueur,banyak
récéh,récéh,artos alit,receh
rék,"badé, seja","badé, seja","akan, mau"
remen,sering,sering,sering
rempug,"mupakat, rempug",rempag,bermusyawarah
rérégan,gardéng,lalangsé,"abar, operasi"
resep,resep,"langen, seneng, sedep",kegemaran
reujeung,sareng,sareng,bersama
reuneuh,kakandungan,"bobot, ngandeg",hamil
reureuh,reureuh,ngaso,istirahat
rieut,rieut,puyeng,pusing
rikip,rikip,rencep,diam-diam
ripuh,répot,répot,repot
ririkipan,ririkipan,rerencepan,diam-diam
risi,risi,rémpan,takut
robah,robih,robih,berubah
roko,roko,sesepeun,rokok
rongkah,ageung,ageung,besar
rua,rupi,rupi,macam
rugi,rugel,rugel,rugi
rujuk,rempug,rempag,bersatu kembali
rumasa,rumaos,rumaos,dikira
rupa,rupi,rupi,macam
rurusuhan,énggal-énggalan,énggal-énggalan,cepat-cepat
rusuh,énggal-énggalan,énggal-énggalan,buru-buru
saba,saba,angkat-angkatan,bepergian
sabab,"jalaran, (ku) margi","(ku) margi, réh(ing)",sebab
sabalikna,"sawalerna, sawangsulna","sawalerna, sawangsulna",sebaliknya
sabot,waktos,waktos,ketika
sabuk,"beubeur, sabuk",beulitan,sabuk
sadia,"sayagi, sayogi","sayagi, sayogi",sedia
sadu,tamada,"tamada, tomada",meminta maaf
saemét,sakedik,sakedik,sedikit
saendeng-endeng,salamina,"sapaosna, sapapaosna",selamanya
saeutik,sakedik,sakedik,sedikit
sagala,sagala,saniskanten,segala
sakapeung,sawaktos-waktos,sawaktos-waktos,sewaktu-waktu
sakeudeung,sakedap,sakedap,sebentar
sakit,sakit,kasawat,"penyakit, sakit"
sakuduna,sakedahna,sakedahna,seharusnya
sakur,"sadaya, sugri","sadaya, sugri",semua
salah,lepat,lepat,salah
salah saurang,salahsawios,salahsawios,salah seorang
salaki,"(pun) lanceuk, salaki","carogé, (tuang) raka",suami
salamet,salamet,wilujeng,selamat
salat,"netepan, sambéang, sambiang",netepan,salat
salempang,salempang,"rejag manah, salempang",takut
salésma,salésma,pileg,flu
salin,salin,gentos,"ganti, tukar"
samak,amparan,amparan,tikar
samarukna,pangintenna,pangintenna,kemungkinan
saméméh,sateuacan,sateuacan,sebelum
sampak,sampak,sondong,sedang ada ketika kita datang
samping,sinjang,sinjang,kain panjang
sanajan,sanaos,sanaos,walaupun
sanding,sanding,sumpingan,kedatangan
sanggeus,saparantos,saparantos,sesudah
sanggup,sanggem,kersa,sanggup
sangka,kinten,kinten,sanggup
sangkan,supados,supados,supaya
sangu,sangu,sangu,nasi
saniskara,saniskanten,saniskanten,macam-macam
sapantar,sapantar,sayuswa,sebaya
saparo,sapalih,sapalih,sebagian
sapédah,"ku margi, jalaran",réhing,sebab
saperti,sapertos,"sakarupi, sapertos, sarupi",seperti
saputangan,saputangan,salempay,saputangan
saré,mondok,kulem,tidur
saréréa,sadayana,sadayana,semuanya
sarta,sareng,sareng,bersama
sarua,"sami, sarupi","sami, sarupi",sama
sasadu,tamada,"tamada, tomada",meminta maaf
sasarap,"neda (énjing-énjing), sasarap",tuang (énjing-énjing),sarapan
sawadina,sakedahna,sakedahna,seharusnya
sawah,sérang,sérang,sawah
sawaréh,sapalih,sapalih,sebagian
sawatara,sawatawis,sawatawis,beberapa
sayaga,sayagi,sayagi,sedia
sebut,sebat,sebat,sebut
sedih,sedih,"sedih, sungkawa",sedih
séjén,sanés,sanés,bukan
séléh,pasrah,"hatur, sangga",menyerah
séléwér,pidua haté,pidua manah,selingkuh
sémah,(ta)tamu,(ta)tamu,tamu
semet,"dugi ka, wangkid","dugi ka, wangkid",batas
senang,senang,raos mahan,gembira
serah,"késér, pirak","késér, pirak",cerai
serahkeun,"késér, pirak","késér, pirak",menceraikan
sérédan,rorodan,rorodan,sisa makan yang tidak habis
seret,wangkid,wangkid,seret
sésa,kantun,kantun,sisa
seubeuh,wareg,sesek,kenyang
seug,mangga,mangga,silahkan
seupah,lemar,lemar,sirih
seuri,seuri,"gumujeng, kahaturan",tertawa
siar,pilari,pilari,mencari
sibanyo,sibanyo,"tamas, wawasuh",mencuci
sim kuring,sim abdi,–,saya
simbut,simbut,kampuh,selimut
simpang,sindang,sindang,mampir
sing,mugi,mugi(a),semoga
sirah,sirah,mastaka,kepala
siram,sébor,sébor,siram
sirit,"larangan, rarangan","larangan, rarangan",penis
sisig,sisig,susur,susur
sisir,pamérés,pamérés,sisir
soara,sora,soanten,suara
solat,"netepan, sambéang, sambiang",netepan,solat
sono,sono,"honeng, oneng",kangen
sora,soanten,soanten,suara
sorangan,sorangan,nyalira,sendiri
soré,sonten,sonten,sore
sugan,manawi,manawi,mungkin
suku,suku,sampéan,kaki
sukur,nuhun,nuhun,berterima kash
sumawon,sumawonten,sumawonten,bahkan
sumawona,sumawonten,sumawonten,bahkan
sunat,beresihan,sepitan,"khitan, sunat"
sungut,cangkem,baham,mulut
supaya,supados,supados,supaya
surat,serat,"serat, tétésan",surat
surup,sarumah,calik,kesurupan
susah,sesah,sesah,susah
susu,pinareup,pinareup,payudara
suweng,"kurabu, suweng","giwang, sumber",anting
suwung,"seweng, suwung","seweng, suwung",kosong
tabéat,adat,panganggo,tabiat
tacan,teu acan,teu acan,belum
tadina,"awitna, kawitna","awitna, kawitna",tadinya
tai,kokotor,kokotor,tahi
taksir,kinten,kinten,perkiraan
taktak,taktak,taraju,pundak
talatah,wiat saur,wiat saur,amanah
tambah,tambih,"tambih, wuwuh",tambah
tampa,tampi,tampi,terima
tampolong,"tampolong, tempat ludah",pangludahan,tempat meludah
tanaga,tanagi,tanagi,tenaga
tanda,tawis,tawis,menandatangani
tandatangan,tandatangan,tawis,tanda tangan
tangén,nyaho,uninga,mengetahui
tangga,tanggi,tanggi,tetangga
tanggal,(ka)ping,(ka)ping,tanggal
tanggung,tanggel,tanggel,tanggung
tanggung jawab,tanggel waler,tanggel waler,tanggung jawab
tangtu,"kantenan, tangtos","kantenan, tangtos",tentu
tangtung,tangtung,adeg,berdiri
tanwandé,tangtos,tangtos,sudah
tanya,taros,"parios, taros",tanya
tapi,nanging,nanging,tetapi
tarang,tarang,taar,kening
taranjang,taranjang,wuwuda,telanjang
tarima,tampi,tampi,terima
tasma,kacasoca,kacasoca,kacamata
tatangga,tatanggi,tatanggi,tetangga
taun,warsih,warsih,tahun
tawar,tawis,pundut,tawar
tayoh,rupi,rupi,macam
tayohna,rupina,rupina,rupanya
téang,pilari,pilari,"menengok, melayat"
tedun,caos,caos,tenang
teleg,"teleg, teureuy",telen,menelan
tembang,tembang,mamaos,lagu
tempo,tingal,tingali,lihat
témpo,sarantos,sarantos,tempo
ténjo,tingal,tingali,lihat
tepi,dugi,dugi,sampai
tepung,tepang,tepang,bertemu
téré,téré,kawalon,tiri
téréh,énggal,énggal,cepat
terus,"lajeng, teras","lajeng, teras",terus
téték,wincik,wincik,rincian
teu lumrah,yaktos,yaktos,"betul, benar"
teu mangkuk,teu kantos,teu kantos,tidak jadi
teu parok,teu sami,teu sami,tidak sama
teu pati,teu patos,teu patos,tidak begitu
teundeun,simpen,simpen,menyimpan
teureuy,"teleg, teureuy",telen,menelan
ti heula,ti payun,ti payun,dari awl
timu,pendak,pendak,betemu
tincak,dampal,dampal,injak
tinggal,kantun,kantun,tinggal
titah,jurung,piwarang,perintah
toa,(pun) ua,(tuang) rama,kakak dari orang tua
tonggong,tonggong,pungkur,punggung
topi,"dudukuy, topi","langgukan, tudung",topi
torék,teu nguping,teu ngadangu,tuli
tukang,"pengker, pungkur","pengker, pungkur",belakang
tukeur,liron,gentos,"ganti, tukar"
tulis,serat,serat,tulis
tulisan,seratan,seratan,tulisan
tulung,tulung,tandang,tolong
tulus,cios,cios,jadi dilaksanakan
tuluy,"lajeng, teras","lajeng, teras","jadi, pasti"
tumpak,tumpak,tunggang,naik
tunda,simpen,simpen,simpan
tunduh,tunduh,palay,mengantuk
tunggu,antos,antos,tunggu
tungkulan,tungkulan,luuhan,menunduk
turun,lungsur,lungsur,turun
turut,tumut,tumut,ikut
tutu,tutu,peuseul,menumbuk
tuur,tuur,"deku, teku",lutut
ua,(pun) ua,(tuang) rama,kakak dari orang tua
ubar,"obat, ubar",landong,obat
ucap,ucap,"kedal, lisan",ucap
udud,"ngaroko, roko, udud","ngalelet, nyesep, sesep",merokok
ududeun,"rokoeun, ududeun",sesepeun,rokok
udul,kaluron,kaluron,gugur kandungan
ulah,teu kénging,teu kénging,"jangan, tidak boleh"
ulin,ulin,ameng,main
umur,yuswa,yuswa,umur
unina,"ungelna, unggelna","ungelna, unggelna",bunyinya
upama,upami,upami,umpama
urang,"abdi, sim kuring",–,kita
urus,lereskeun,lereskeun,urus
urut,tilas,tilas,bekas
usep,pancing,pancing,pancing
utah,utah,luga,muntah
utama,utami,utami,utama
waktu,"waktos, wangkid","waktos, wangkid","waktu, masa"
waluya,wilujeng,wilujeng,selamat
wani,wantun,wantun,berani
waras,cageur,damang,sehat
waréh,palih,palih,"sebelah, samping"
warga,wargi,wargi,warga
warna,rupi,rupi,warna
warta,wartos,wartos,berita
waspada,waspaos,waspaos,waspada
watara,watawis,watawis,beberapa
watir,hawatos,hawatos,khawatir
wawuh,"kenal, wanoh","kenal, wanoh",kenal
wedak,pupur,pupur,bedak
wedal,wedal,weton,"muncul, lahir"
wilang,étang,étang,bisa berhitung
wudu,"wudu, wulu",abdas,wudu
wulu,"wudu, wulu",abdas,wudu
yakti,yaktos,yaktos,sungguh
yén,wiréh,wiréh,"oleh karena, sebab"
sumber: basasunda.com dan caraindonesia.com,,,
