sundanese,politeness
nyoba,casual
nyobi,polite
nyokot,casual
ngabantun,polite
nyandak,formal
nyolowédor,casual
nyolowédor,polite
midua manah,formal
nyukuran,casual
nganuhunkeun,polite
nyumponan,casual
nyumponan,polite
nyaosan,formal
nyunatan,casual
ngaberesihan,polite
nyepitan,formal
obat,casual
obat,polite
ubar,polite
landong,formal
ogan,casual
ondang,polite
ulem,formal
oléh oléh,casual
kaémutan,polite
kagegelan,polite
omé,casual
leres,polite
omong,casual
sanggem,polite
carios,formal
lahir,formal
omongan,casual
sanggeman,polite
cariosan,formal
lahiran,formal
ondang,casual
ulem,polite
haturanan calik,polite
pacilingan,casual
jamban,polite
paéh,casual
nilar,polite
tilar dunya,polite
ngantunkeun,polite
pupus,formal
paham,casual
paham,polite
ngartos,polite
ngartos,formal
pahili,casual
paliron,polite
pagentos,formal
paju,casual
pajeng,polite
paké,casual
anggo,polite
palangan,casual
kareseban,polite
udur sasih,polite
kareseban,formal
palangsiang,casual
tiasa janten,polite
palar,casual
palar,polite
pambrih,formal
pamrih,formal
palebah,casual
leresan,polite
paliré,casual
paliré,polite
perhatoskeun,formal
pamajikan,casual
pun bojo,polite
tuang istri,formal
tuang rai/rayi,formal
geureuha,formal
paman,casual
pun paman,polite
tuang rama,formal
pancuran,casual
jamban,polite
pandé,casual
pandé,polite
padan,formal
sami,formal
pandé rupa,casual
rupi,polite
pandeuri,casual
pengker,polite
pang,casual
nu mawi,polite
pangaweruh,casual
kauninga,polite
panggih,casual
pendak,polite
tepang,polite
pangkat,casual
kadudukan,polite
kalungguhan,formal
pangku,casual
pangkon,polite
pangna,casual
nu mawi,polite
pangraksa,casual
pangraksa,polite
panangtayungan,formal
panitih,casual
panitih,polite
sanggétan,formal
sangkétan,formal
panon,casual
panon,polite
soca,formal
pantar,casual
pantar,polite
sayuswa,formal
pantég,casual
kalintang,polite
kalintang,formal
teu kinten,formal
papacangan,casual
tunangan,polite
paparah,casual
kinten kinten,polite
papatah,casual
naséhat,polite
papatah,polite
piwejang,formal
piwuruk,formal
parak,casual
parak,polite
punday,formal
parandéné,casual
sanaos,polite
paribasa,casual
paripaos,polite
pariksa,casual
pariksa,polite
parios,formal
parna,casual
répot,polite
wales,formal
paro,casual
palih,polite
parok,casual
sami,polite
pasti,casual
kantenan,polite
tangtos,polite
pati,casual
patos,polite
patuh,casual
patuh,polite
linggih,formal
payu,casual
pajeng,polite
payung,casual
payung,polite
pajeng,formal
pecak,casual
cobi,polite
pédah,casual
jalaran,polite
ku margi,polite
ku margi,formal
réhing,formal
pegat,casual
pegat,polite
andeg,formal
pék,casual
geura,polite
mangga,polite
mangga,formal
pelik,casual
sesah,polite
pencét,casual
peuseul,polite
pénta,casual
teda,polite
suhunkeun,polite
pundut,formal
penting,casual
peryogi,polite
pepegatan,casual
pipisahan,polite
percaya,casual
percanten,polite
perelu,casual
peryogi,polite
perkara,casual
perkawis,polite
perlu,casual
peryogi,polite
permata,casual
sosoca,polite
permisi,casual
permios,polite
peuting,casual
wengi,polite
pianakan,casual
pianakan,polite
wewetengan,formal
pias,casual
pucet,polite
pidato,casual
biantara,polite
pihapé,casual
wiat,polite
wewerat,formal
wiat,formal
pikeun,casual
kanggo,polite
haturan,formal
kanggo,formal
pikir,casual
pikir,polite
manah,formal
piligenti,casual
piligentos,polite
pilih,casual
peto,polite
selir,formal
pindah,casual
pindah,polite
ngalih,formal
pingping,casual
pingping,polite
paha,formal
pipi,casual
pipi,polite
damis,formal
pirang pirang,casual
pinten pinten,polite
pireungeuh,casual
pireungeuh,polite
tingal,polite
tingali,formal
pitulung,casual
pitulung,polite
pitandang,formal
poé,casual
dinten,polite
pohara,casual
kalintang,polite
kalintang,formal
teu kinten,formal
poho,casual
hilap,polite
lali,formal
popotongan,casual
patilasan,polite
potong,casual
tilas,polite
pribadi,casual
pribados,polite
ku anjeun,formal
prihatin,casual
prihatin,polite
prihatos,formal
puasa,casual
puasa,polite
saum,formal
puguh,casual
kantenan,polite
tangtos,polite
pukul,casual
tabuh,polite
pupulih,casual
nyanggem,polite
popoyan,polite
unjukan,polite
wawartos,polite
nyarios,formal
pupulih,formal
unjukan,formal
wawartos,formal
purun,casual
purun,polite
kersa,formal
raat,casual
lirén,polite
rajin,casual
kersaan,polite
raket,casual
caket,polite
raksa,casual
raksa,polite
tangtayungan,formal
ramo,casual
ramo,polite
réma,formal
rampés,casual
mangga,polite
ranyéd,casual
ranyéd,polite
lambang sari,formal
rarabi,casual
rarabi,polite
garwaan,formal
rarasaan,casual
raraosan,polite
rasa,casual
raos,polite
réa,casual
seueur,polite
récéh,casual
récéh,polite
artos alit,formal
rék,casual
badé,polite
seja,polite
remen,casual
sering,polite
rempug,casual
mupakat,polite
rempug,polite
rempag,formal
rérégan,casual
gardéng,polite
lalangsé,formal
resep,casual
resep,polite
langen,formal
seneng,formal
sedep,formal
reujeung,casual
sareng,polite
reuneuh,casual
kakandungan,polite
bobot,formal
ngandeg,formal
reureuh,casual
reureuh,polite
ngaso,formal
rieut,casual
rieut,polite
puyeng,formal
rikip,casual
rikip,polite
rencep,formal
ripuh,casual
répot,polite
ririkipan,casual
ririkipan,polite
rerencepan,formal
risi,casual
risi,polite
rémpan,formal
robah,casual
robih,polite
roko,casual
roko,polite
sesepeun,formal
rongkah,casual
ageung,polite
rua,casual
rupi,polite
rugi,casual
rugel,polite
rujuk,casual
rempug,polite
rempag,formal
rumasa,casual
rumaos,polite
rupa,casual
rupi,polite
rurusuhan,casual
énggal énggalan,polite
rusuh,casual
énggal énggalan,polite
saba,casual
saba,polite
angkat angkatan,formal
sabab,casual
jalaran,polite
ku margi,polite
ku margi,formal
réhing,formal
sabalikna,casual
sawalerna,polite
sawangsulna,polite
sabot,casual
waktos,polite
sabuk,casual
beubeur,polite
sabuk,polite
beulitan,formal
sadia,casual
sayagi,polite
sayogi,polite
sadu,casual
tamada,polite
tamada,formal
tomada,formal
saemét,casual
sakedik,polite
saendeng endeng,casual
salamina,polite
sapaosna,formal
sapapaosna,formal
saeutik,casual
sakedik,polite
sagala,casual
sagala,polite
saniskanten,formal
sakapeung,casual
sawaktos waktos,polite
sakeudeung,casual
sakedap,polite
sakit,casual
sakit,polite
kasawat,formal
sakuduna,casual
sakedahna,polite
sakur,casual
sadaya,polite
sugri,polite
salah,casual
lepat,polite
salah saurang,casual
salahsawios,polite
salaki,casual
pun lanceuk,polite
salaki,polite
carogé,formal
tuang raka,formal
salamet,casual
salamet,polite
wilujeng,formal
salat,casual
netepan,polite
sambéang,polite
sambiang,polite
netepan,formal
salempang,casual
salempang,polite
rejag manah,formal
salempang,formal
salésma,casual
salésma,polite
pileg,formal
salin,casual
salin,polite
gentos,formal
samak,casual
amparan,polite
samarukna,casual
pangintenna,polite
saméméh,casual
sateuacan,polite
sampak,casual
sampak,polite
sondong,formal
samping,casual
sinjang,polite
sanajan,casual
sanaos,polite
sanding,casual
sanding,polite
sumpingan,formal
sanggeus,casual
saparantos,polite
sanggup,casual
sanggem,polite
kersa,formal
sangka,casual
kinten,polite
sangkan,casual
supados,polite
sangu,casual
sangu,polite
saniskara,casual
saniskanten,polite
sapantar,casual
sapantar,polite
sayuswa,formal
saparo,casual
sapalih,polite
sapédah,casual
ku margi,polite
jalaran,polite
réhing,formal
saperti,casual
sapertos,polite
sakarupi,formal
sapertos,formal
sarupi,formal
saputangan,casual
saputangan,polite
salempay,formal
saré,casual
mondok,polite
kulem,formal
saréréa,casual
sadayana,polite
sarta,casual
sareng,polite
sarua,casual
sami,polite
sarupi,polite
sasadu,casual
tamada,polite
tamada,formal
tomada,formal
sasarap,casual
neda énjing énjing,polite
sasarap,polite
tuang énjing énjing,formal
sawadina,casual
sakedahna,polite
sawah,casual
sérang,polite
sawaréh,casual
sapalih,polite
sawatara,casual
sawatawis,polite
sayaga,casual
sayagi,polite
sebut,casual
sebat,polite
sedih,casual
sedih,polite
sedih,formal
sungkawa,formal
séjén,casual
sanés,polite
séléh,casual
pasrah,polite
hatur,formal
sangga,formal
séléwér,casual
pidua haté,polite
pidua manah,formal
sémah,casual
tatamu,polite
semet,casual
dugi ka,polite
wangkid,polite
senang,casual
senang,polite
raos mahan,formal
serah,casual
késér,polite
pirak,polite
serahkeun,casual
késér,polite
pirak,polite
sérédan,casual
rorodan,polite
seret,casual
wangkid,polite
sésa,casual
kantun,polite
seubeuh,casual
wareg,polite
sesek,formal
seug,casual
mangga,polite
seupah,casual
lemar,polite
seuri,casual
seuri,polite
gumujeng,formal
kahaturan,formal
siar,casual
pilari,polite
sibanyo,casual
sibanyo,polite
tamas,formal
wawasuh,formal
sim kuring,casual
sim abdi,polite
simbut,casual
simbut,polite
kampuh,formal
simpang,casual
sindang,polite
sing,casual
mugi,polite
mugia,formal
sirah,casual
sirah,polite
mastaka,formal
siram,casual
sébor,polite
sirit,casual
larangan,polite
rarangan,polite
sisig,casual
sisig,polite
susur,formal
sisir,casual
pamérés,polite
soara,casual
sora,polite
soanten,formal
solat,casual
netepan,polite
sambéang,polite
sambiang,polite
netepan,formal
sono,casual
sono,polite
honeng,formal
oneng,formal
sora,casual
soanten,polite
sorangan,casual
sorangan,polite
nyalira,formal
soré,casual
sonten,polite
sugan,casual
manawi,polite
suku,casual
suku,polite
sampéan,formal
sukur,casual
nuhun,polite
sumawon,casual
sumawonten,polite
sumawona,casual
sumawonten,polite
sunat,casual
beresihan,polite
sepitan,formal
sungut,casual
cangkem,polite
baham,formal
supaya,casual
supados,polite
surat,casual
serat,polite
serat,formal
tétésan,formal
surup,casual
sarumah,polite
calik,formal
susah,casual
sesah,polite
susu,casual
pinareup,polite
suweng,casual
kurabu,polite
suweng,polite
giwang,formal
sumber,formal
suwung,casual
seweng,polite
suwung,polite
tabéat,casual
adat,polite
panganggo,formal
tacan,casual
teu acan,polite
tadina,casual
awitna,polite
kawitna,polite
tai,casual
kokotor,polite
taksir,casual
kinten,polite
taktak,casual
taktak,polite
taraju,formal
talatah,casual
wiat saur,polite
tambah,casual
tambih,polite
tambih,formal
wuwuh,formal
tampa,casual
tampi,polite
tampolong,casual
tampolong,polite
tempat ludah,polite
pangludahan,formal
tanaga,casual
tanagi,polite
tanda,casual
tawis,polite
tandatangan,casual
tandatangan,polite
tawis,formal
tangén,casual
nyaho,polite
uninga,formal
tangga,casual
tanggi,polite
tanggal,casual
kaping,polite
tanggung,casual
tanggel,polite
tanggung jawab,casual
tanggel waler,polite
tangtu,casual
kantenan,polite
tangtos,polite
tangtung,casual
tangtung,polite
adeg,formal
tanwandé,casual
tangtos,polite
tanya,casual
taros,polite
parios,formal
taros,formal
tapi,casual
nanging,polite
tarang,casual
tarang,polite
taar,formal
taranjang,casual
taranjang,polite
wuwuda,formal
tarima,casual
tampi,polite
tasma,casual
kacasoca,polite
tatangga,casual
tatanggi,polite
taun,casual
warsih,polite
tawar,casual
tawis,polite
pundut,formal
tayoh,casual
rupi,polite
tayohna,casual
rupina,polite
téang,casual
pilari,polite
tedun,casual
caos,polite
teleg,casual
teleg,polite
teureuy,polite
telen,formal
tembang,casual
tembang,polite
mamaos,formal
tempo,casual
tingal,polite
tingali,formal
témpo,casual
sarantos,polite
ténjo,casual
tingal,polite
tingali,formal
tepi,casual
dugi,polite
tepung,casual
tepang,polite
téré,casual
téré,polite
kawalon,formal
téréh,casual
énggal,polite
terus,casual
lajeng,polite
teras,polite
téték,casual
wincik,polite
teu lumrah,casual
yaktos,polite
teu mangkuk,casual
teu kantos,polite
teu parok,casual
teu sami,polite
teu pati,casual
teu patos,polite
teundeun,casual
simpen,polite
teureuy,casual
teleg,polite
teureuy,polite
telen,formal
ti heula,casual
ti payun,polite
timu,casual
pendak,polite
tincak,casual
dampal,polite
tinggal,casual
kantun,polite
titah,casual
jurung,polite
piwarang,formal
toa,casual
pun ua,polite
tuang rama,formal
tonggong,casual
tonggong,polite
pungkur,formal
topi,casual
dudukuy,polite
topi,polite
langgukan,formal
tudung,formal
torék,casual
teu nguping,polite
teu ngadangu,formal
tukang,casual
pengker,polite
pungkur,polite
tukeur,casual
liron,polite
gentos,formal
tulis,casual
serat,polite
tulisan,casual
seratan,polite
tulung,casual
tulung,polite
tandang,formal
tulus,casual
cios,polite
tuluy,casual
lajeng,polite
teras,polite
tumpak,casual
tumpak,polite
tunggang,formal
tunda,casual
simpen,polite
tunduh,casual
tunduh,polite
palay,formal
tunggu,casual
antos,polite
tungkulan,casual
tungkulan,polite
luuhan,formal
turun,casual
lungsur,polite
turut,casual
tumut,polite
tutu,casual
tutu,polite
peuseul,formal
tuur,casual
tuur,polite
deku,formal
teku,formal
ua,casual
pun ua,polite
tuang rama,formal
ubar,casual
obat,polite
ubar,polite
landong,formal
ucap,casual
ucap,polite
kedal,formal
lisan,formal
udud,casual
ngaroko,polite
roko,polite
udud,polite
ngalelet,formal
nyesep,formal
sesep,formal
ududeun,casual
rokoeun,polite
ududeun,polite
sesepeun,formal
udul,casual
kaluron,polite
ulah,casual
teu kénging,polite
ulin,casual
ulin,polite
ameng,formal
umur,casual
yuswa,polite
unina,casual
ungelna,polite
unggelna,polite
upama,casual
upami,polite
urang,casual
abdi,polite
sim kuring,polite
urus,casual
lereskeun,polite
urut,casual
tilas,polite
usep,casual
pancing,polite
utah,casual
utah,polite
luga,formal
utama,casual
utami,polite
waktu,casual
waktos,polite
wangkid,polite
waluya,casual
wilujeng,polite
wani,casual
wantun,polite
waras,casual
cageur,polite
damang,formal
waréh,casual
palih,polite
warga,casual
wargi,polite
warna,casual
rupi,polite
warta,casual
wartos,polite
waspada,casual
waspaos,polite
watara,casual
watawis,polite
watir,casual
hawatos,polite
wawuh,casual
kenal,polite
wanoh,polite
wedak,casual
pupur,polite
wedal,casual
wedal,polite
weton,formal
wilang,casual
étang,polite
wudu,casual
wudu,polite
wulu,polite
abdas,formal
wulu,casual
wudu,polite
wulu,polite
abdas,formal
yakti,casual
yaktos,polite
yén,casual
wiréh,polite
